Traditional,Simplified,Kanji,Hanja,Hanji,Reading,Old,Cantonese,Mandarin,Sino,Native,JGrade,Year Added,Sino,Native,KGrade,Sino-Vietnamese,Part of Speech,Meaning,Radical,Strokes
賄,贿,,,賄,hei,huei,"fui 2 , kui 2 ",huì,ワイ,まかな-う,S,,0,0,0,,,bribe,貝,13
潰,溃,,,潰,hei,huei,kui 2 ,"kuì, xiè",カイ,つぶ-す、つぶ-れる,S,2010,0,0,0,,,crush,水,15
險,险,険,,険,hemu,hemu,him 2 ,xiǎn,ケン,けわ-しい,5,,험,험할,H,,,precipitous,阜,11
嫌,,,,嫌,hemu,hemu,yim 4 ,xián,ケン、（ゲン）,きら-う、いや,S,1981,0,0,0,,,dislike,女,13
脅,胁,,,脅,"hemu, hepu","hiemu, hiepu",hip 3 ,xié,キョウ,おびや-かす、おど-す、おど-かす,S,,협,옆구리,H,,,threaten,肉,10
現,现,,,現,hen,hen,yin 6 ,xiàn,ゲン,あらわ-れる、あらわ-す,5,,현,나타날,M,,,appear,玉,11
賢,贤,,,賢,hen,hen,yin 4 ,xián,ケン,かしこ-い,S,,현,어질,M,,,intelligent,貝,16
顯,显,顕,,顕,hen,hen,hin 2 ,xiǎn,ケン,0,S,,현,나타날,H,,,appear,頁,18
弦,,,,弦,hen,hen,"yin 4 , yun 4 ",xián,ゲン,つる,S,,0,0,0,,,bowstring,弓,8
舷,,,,舷,hen,hen,yin 4 ,xián,ゲン,0,S,2010,0,0,0,,,gunwale,舟,11
兄,,,,兄,henu,huenu,hing 1 ,xiōng,ケイ、（キョウ）,あに,2,,형,맏,M,huynh,n,older brother,儿,5
形,,,,形,henu,henu,ying 4 ,xíng,ケイ、ギョウ,かた、かたち,2,,형,모양,M,"hình, hềnh",,shape,彡,7
型,,,,型,henu,henu,ying 4 ,xíng,ケイ,かた,4,,0,0,0,,,model,土,9
刑,,,,刑,henu,henu,ying 4 ,xíng,ケイ,0,S,,형,형벌,M,,,punish,刀,6
